objectid,classification,beginyear
1967,Drawing,1757.0
1968,Drawing,1757.0
1969,Drawing,1757.0
1970,Drawing,1757.0
1992,Print,1766.0
1971,Drawing,1757.0
1972,Drawing,1757.0
1973,Drawing,1757.0
1974,Drawing,1757.0
1975,Drawing,1757.0
1976,Drawing,1757.0
2105,Drawing,1766.0
1977,Drawing,1757.0
1978,Volume,1757.0
1979,Volume,1757.0
1980,Volume,1757.0
1981,Volume,1757.0
1982,Volume,1757.0
1983,Volume,1795.0
1993,Print,1765.0
1994,Print,1765.0
2000,Print,1767.0
2001,Drawing,1765.0
2002,Print,1767.0
2003,Drawing,1765.0
2004,Print,1767.0
2005,Drawing,1765.0
2006,Print,1767.0
2007,Drawing,1765.0
2008,Print,1766.0
2009,Drawing,1765.0
2010,Print,1767.0
2011,Drawing,1765.0
2012,Print,1767.0
2013,Drawing,1767.0
2014,Print,1767.0
2016,Print,1767.0
2017,Drawing,1767.0
2019,Print,1767.0
2020,Drawing,1767.0
2021,Print,1767.0
2022,Drawing,1767.0
2023,Print,1767.0
2024,Drawing,1767.0
2025,Volume,1767.0
2026,Print,1767.0
2028,Print,1767.0
2029,Drawing,1766.0
2030,Print,1767.0
2031,Drawing,1767.0
2032,Print,1767.0
2034,Print,1767.0
2035,Drawing,1767.0
2036,Print,1767.0
2038,Print,1767.0
2039,Drawing,1766.0
2040,Print,1767.0
2041,Print,1767.0
2042,Drawing,1767.0
2043,Print,1767.0
2045,Print,1767.0
2046,Drawing,1766.0
2047,Print,1767.0
2048,Drawing,1766.0
2049,Print,1767.0
2050,Print,1767.0
2051,Drawing,1767.0
2052,Drawing,1766.0
2464,Print,1690.0
2053,Print,1767.0
2054,Drawing,1766.0
2055,Print,1767.0
2056,Drawing,1766.0
2057,Print,1767.0
2058,Drawing,1767.0
2059,Print,1767.0
2060,Drawing,1766.0
2061,Volume,1767.0
2062,Print,1767.0
2063,Drawing,1766.0
2064,Print,1767.0
2065,Drawing,1766.0
2066,Print,1767.0
2067,Drawing,1767.0
2068,Print,1767.0
2069,Print,1767.0
2070,Drawing,1767.0
2071,Print,1767.0
2072,Drawing,1767.0
2073,Print,1767.0
2074,Print,1767.0
2075,Print,1767.0
2076,Drawing,1767.0
2077,Print,1767.0
2078,Drawing,1766.0
2079,Print,1767.0
2080,Print,1767.0
2081,Print,1767.0
2082,Drawing,1767.0
2083,Print,1767.0
2084,Drawing,1766.0
2085,Print,1767.0
2086,Drawing,1767.0
2465,Print,1780.0
2087,Print,1767.0
2088,Print,1767.0
2089,Drawing,1766.0
2090,Print,1767.0
2091,Drawing,1767.0
2092,Print,1767.0
2093,Print,1767.0
2094,Drawing,1767.0
2095,Print,1767.0
2096,Drawing,1767.0
2097,Print,1767.0
2098,Drawing,1766.0
2099,Volume,1767.0
2100,Print,1767.0
2102,Print,1767.0
